RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
6603,15580872,Chinweike,761,Germany,Female,38,1,120530.13,2,1,0,109394.62,0,0,2,GOLD,815
4061,15593250,Hsiao,640,France,Female,29,4,0.0,2,1,0,44904.26,0,0,3,GOLD,758
2013,15780124,Blair,841,France,Male,74,9,108131.53,1,0,1,60830.38,0,0,5,SILVER,698
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,2,GOLD,666
8058,15620836,Lo Duca,816,Germany,Female,34,2,108410.87,2,1,0,102908.91,0,0,4,PLATINUM,555
8504,15794101,Barese,559,France,Female,48,2,0.0,2,0,1,137961.41,0,0,3,GOLD,640
4062,15605333,Clancy,529,Spain,Male,31,6,0.0,1,1,0,10625.91,0,0,4,DIAMOND,491
7038,15789611,Lin,568,Germany,Male,46,8,150836.92,1,0,0,64516.8,1,1,2,DIAMOND,525
1244,15593331,Sidorov,693,Germany,Male,25,6,146580.69,1,0,1,14633.35,0,0,4,DIAMOND,459
8667,15785920,Black,687,Germany,Male,35,1,125141.24,2,1,1,148537.07,0,0,3,SILVER,299
199,15656176,Jenkins,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0,5,PLATINUM,374
2282,15778320,Teng,848,Germany,Female,40,5,148495.64,1,0,0,158853.98,0,0,3,SILVER,616
4094,15798470,Scannell,764,Spain,Female,48,1,75990.97,1,1,0,158323.81,1,1,2,DIAMOND,298
2205,15762803,Innes,509,France,Male,31,3,0.0,2,1,0,15360.91,0,0,5,PLATINUM,299
5277,15694852,Arcuri,575,France,Male,29,4,121823.4,2,1,1,50368.87,0,0,4,PLATINUM,435
7309,15618703,White,663,Spain,Female,53,6,150200.23,1,0,1,151317.27,1,1,3,GOLD,654
3285,15724150,Nkemdirim,814,France,Male,48,9,136596.85,1,1,1,185791.9,0,0,3,GOLD,935
1976,15591386,Golubova,622,France,Female,35,5,0.0,2,1,0,51112.8,0,0,5,GOLD,775
6594,15581332,Pan,655,Germany,Female,30,1,83173.98,2,1,1,184259.6,0,0,5,DIAMOND,338
8626,15581893,Ginikanwa,747,France,Male,43,1,130788.71,1,0,1,101495.0,1,1,4,PLATINUM,292
5021,15669589,Page,491,Germany,Female,68,1,95039.12,1,0,1,116471.14,1,1,5,SILVER,897
8149,15572777,Meng,780,Spain,Male,47,7,86006.21,1,1,1,37973.13,0,0,1,DIAMOND,348
982,15566156,Franklin,749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0,0,1,SILVER,378
5696,15773591,Jobson,787,France,Male,46,7,117685.31,2,1,1,93360.35,0,0,4,SILVER,890
1502,15801548,Buckland,661,France,Female,31,7,144162.3,2,1,1,14490.79,0,0,5,PLATINUM,410
793,15707473,Summers,850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0,0,5,GOLD,446
6059,15684868,Cameron,668,Germany,Male,56,9,110993.79,1,1,0,134396.64,1,1,1,SILVER,239
9265,15656351,Laidley,414,Spain,Male,60,3,0.0,2,1,1,93844.82,0,0,5,DIAMOND,315
2499,15648735,Cashin,718,France,Male,37,8,0.0,2,1,1,142.81,0,0,5,GOLD,720
5590,15588372,Kirsova,715,Germany,Female,37,9,105489.31,1,0,0,143096.49,1,1,5,GOLD,267
7769,15726695,Hsia,601,Spain,Female,20,9,122446.61,2,1,0,86791.9,0,0,3,PLATINUM,605
2619,15724834,Wilson,498,France,Female,30,1,0.0,2,0,0,135795.53,0,0,5,GOLD,371
9302,15583857,Siciliano,623,Spain,Female,43,4,123536.52,2,0,0,154908.52,0,0,5,GOLD,408
9853,15718765,Maclean,501,Spain,Male,43,6,104533.24,1,0,0,81123.59,1,1,2,DIAMOND,723
5249,15700366,Burton,669,France,Male,39,3,119452.03,1,1,1,171575.54,0,0,4,DIAMOND,784
7571,15791944,Harker,697,France,Male,32,7,175464.85,3,1,0,116442.42,1,1,1,PLATINUM,594
5903,15586504,Trevisani,694,France,Male,40,9,0.0,2,1,0,40463.03,0,0,2,PLATINUM,400
9741,15572021,Ts'ao,798,Germany,Female,29,8,80204.11,2,1,0,70223.22,0,0,3,SILVER,965
1288,15565701,Ferri,698,Spain,Female,39,9,161993.89,1,0,0,90212.38,0,0,3,DIAMOND,515
815,15641655,Black,700,France,Female,26,2,0.0,2,0,0,50051.42,0,0,5,DIAMOND,417
907,15814275,Zikoranachidimma,685,France,Male,33,6,174912.72,1,1,1,43932.54,0,0,1,PLATINUM,948
6482,15664752,Jack,606,Germany,Male,39,8,136000.45,2,1,0,31708.53,0,0,4,SILVER,819
7088,15615832,Teague,675,Spain,Female,35,8,155621.08,1,0,1,35177.31,0,0,1,PLATINUM,977
7878,15793070,Fiorentino,494,Spain,Female,41,2,69974.66,2,1,0,188426.13,1,1,4,SILVER,997
4566,15773779,Jacka,593,Spain,Female,46,2,76597.79,1,1,1,54453.72,0,0,1,GOLD,520
2752,15720671,Ibezimako,704,France,Male,42,8,129735.3,2,1,1,179565.57,0,0,1,PLATINUM,361
8304,15728333,McBurney,521,France,Male,43,8,0.0,1,1,1,93180.09,0,0,2,PLATINUM,400
2091,15602551,Johnson,667,Spain,Male,39,9,0.0,2,1,0,68873.8,0,0,5,PLATINUM,535
1479,15630725,Johnson,649,France,Female,45,5,92786.66,1,1,0,173365.9,1,1,1,GOLD,919
3232,15587177,Lloyd,646,France,Male,36,6,124445.52,1,1,0,88481.32,0,0,2,SILVER,621
4269,15709941,Feng,753,France,Male,46,8,0.0,3,1,0,90747.94,1,1,2,PLATINUM,497
297,15774510,Tien,714,France,Female,31,4,125169.26,1,1,1,106636.89,0,0,3,PLATINUM,669
2255,15585533,Calabrese,679,France,Male,36,6,147733.64,1,0,1,172501.38,0,0,5,PLATINUM,982
387,15721181,Oliver,611,Spain,Male,46,6,0.0,2,1,0,45886.33,0,0,4,DIAMOND,406
8696,15801994,Buccho,775,France,Male,31,9,0.0,2,1,0,169278.51,0,0,3,SILVER,246
999,15659557,Artamonova,811,Germany,Female,28,4,167738.82,2,1,1,9903.42,0,0,4,GOLD,513
3796,15581102,Baresi,554,France,Female,22,8,0.0,2,0,1,142670.61,0,0,4,SILVER,540
4754,15623053,Muir,454,Spain,Male,40,2,123177.01,1,1,0,148309.98,0,0,1,SILVER,247
4779,15582246,Rowe,737,Spain,Female,45,2,0.0,2,0,1,177695.67,0,0,2,GOLD,614
2297,15582714,Napolitani,749,Germany,Male,47,9,110022.74,1,0,1,135655.29,1,1,3,GOLD,634
5262,15814022,Lassetter,714,France,Female,26,9,89928.99,1,1,0,46203.31,0,0,5,DIAMOND,675
1159,15690007,Ts'ui,434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1,1,2,PLATINUM,690
4283,15602994,Gorbunov,487,France,Female,53,10,89550.85,1,0,1,90076.85,0,0,3,SILVER,575
1840,15761374,Bellucci,706,France,Male,54,9,117444.51,1,1,1,186238.85,0,0,2,PLATINUM,344
9483,15599211,Findlay,707,France,Male,40,1,0.0,2,1,0,14090.4,1,1,3,PLATINUM,222
5867,15600392,Amaechi,735,France,Female,53,8,123845.36,2,0,1,170454.93,1,1,5,DIAMOND,415
5898,15709604,McMillan,781,France,Male,23,2,107433.48,1,1,0,173843.21,0,0,5,SILVER,815
7384,15672912,Loggia,737,Spain,Female,39,7,130051.66,2,0,0,55356.39,1,1,2,SILVER,722
1405,15797276,Sturt,662,Spain,Female,41,4,90350.77,1,1,0,75884.65,1,1,3,PLATINUM,709
3006,15789863,Kazakova,683,France,Male,39,4,0.0,2,1,0,171716.81,0,0,2,GOLD,913
6016,15582591,Chiabuotu,615,Spain,Male,59,4,155766.05,1,1,1,110275.17,0,0,1,DIAMOND,306
6277,15768471,Wagner,554,Germany,Female,54,6,108755.0,1,1,0,40914.32,1,1,1,DIAMOND,415
4886,15654408,Kharitonova,562,Spain,Male,41,5,165445.04,2,1,0,85787.31,0,0,4,GOLD,766
5576,15782879,Lang,656,France,Male,40,2,0.0,2,1,1,180553.48,0,0,1,SILVER,409
1166,15723907,Lawless,712,Germany,Female,49,5,154776.42,2,0,0,196257.68,0,0,3,PLATINUM,822
3504,15782630,Genovese,543,France,Male,35,5,137482.19,1,0,0,62389.35,0,0,4,SILVER,742
